Loss,45–29,Aug-14,"Canadian Open, Canada",Premier 5,Hard, Agnieszka Radwa?ska,"4–6, 2–6"
Loss,45–30,Sep-14,"Tournoi de Québec, Canada",International,Carpet (i), Mirjana Lu?i?-Baroni,"4–6, 3–6"
Win,46–30,Jan-15,"Auckland Open, New Zealand",International,Hard, Caroline Wozniacki,"2–6, 6–3, 6–3"
Win,47–30,Oct-15,"Wuhan Open, China",Premier 5,Hard, Garbiñe Muguruza,"6–3, 3–0 ret."
Win,48–30,Nov-15,"WTA Elite Trophy, China",Elite Trophy,Hard (i), Karolína Plíšková,"7–5, 7–6(8–6)"
Win,49–30,Feb-16,"Taiwan Open, Taiwan",International,Hard, Misaki Doi,"6–4, 6–2"
Loss,49–31,Jul-16,"Silicon Valley Classic, United States",Premier,Hard, Johanna Konta,"5–7, 7–5, 2–6"
Loss,49–32,Jan-17,"Australian Open, Australia",Grand Slam,Hard, Serena Williams,"4–6, 4–6"
Loss,49–33,Jul-17,"Wimbledon, United Kingdom",Grand Slam,Grass, Garbiñe Muguruza,"5–7, 0–6"
Loss,49–34,Oct-17,"WTA Finals, Singapore",WTA Finals,Hard (i), Caroline Wozniacki,"4–6, 4–6"
