Result,W–L,Date,Tournament,Tier,Surface,Opponent,Score
Loss,0–1,Sep-97,"US Open, United States",Grand Slam,Hard, Martina Hingis,"0–6, 4–6"
Loss,0–2,Jan-98,"Sydney International, Australia",Tier II,Hard, Arantxa Sánchez Vicario,"1–6, 3–6"
Win,1–2,Feb-98,"U.S. National Indoor, United States",Tier III,Hard (i), Joannette Kruger,"6–3, 6–2"
Win,2–2,Mar-98,"Miami Open, United States",Tier I,Hard, Anna Kournikova,"2–6, 6–4, 6–1"
Loss,2–3,May-98,"Italian Open, Italy",Tier I,Clay, Martina Hingis,"3–6, 6–2, 3–6"
Loss,2–4,Jul-98,"Silicon Valley Classic, United States",Tier II,Hard, Lindsay Davenport,"4–6, 7–5, 4–6"
Win,3–4,Oct-98,"Grand Slam Cup, Germany",GS Cup,Hard, Patty Schnyder,"6–2, 3–6, 6–2"
Loss,3–5,Oct-98,"Zurich Open, Switzerland",Tier I,Carpet (i), Lindsay Davenport,"5–7, 3–6"
Loss,3–6,Feb-99,"Faber Grand Prix, Germany",Tier II,Carpet (i), Jana Novotná,"4–6, 4–6"
Win,4–6,Feb-99,"U.S. National Indoor, United States (2)",Tier III,Hard (i), Amanda Coetzer,"6–4, 6–0"
Win,5–6,Mar-99,"Miami Open, United States (2)",Tier I,Hard, Serena Williams,"6–1, 4–6, 6–4"
Win,6–6,May-99,"WTA Hamburg, Germany",Tier II,Clay, Mary Pierce,"6–0, 6–3"
Win,7–6,May-99,"Italian Open, Italy",Tier I,Clay, Mary Pierce,"6–4, 6–2"
Loss,7–7,Jul-99,"Silicon Valley Classic, United States",Tier II,Hard, Lindsay Davenport,"6–7(1–7), 2–6"
Loss,7–8,Aug-99,"Southern California Open, United States",Tier II,Hard, Martina Hingis,"4–6, 0–6"
Win,8–8,Aug-99,"Connecticut Open, United States",Tier II,Hard, Lindsay Davenport,"6–2, 7–5"
Loss,8–9,Oct-99,"Grand Slam Cup, Germany",GS Cup,Hard (i), Serena Williams,"1–6, 6–3, 3–6"
Win,9–9,Oct-99,"Zurich Open, Switzerland",Tier I,Hard (i), Martina Hingis,"6–3, 6–4"
Win,10–9,Jun-00,"Wimbledon, United Kingdom",Grand Slam,Grass, Lindsay Davenport,"6–3, 7–6(7–3)"
Win,11–9,Jul-00,"Silicon Valley Classic, United States",Tier II,Hard, Lindsay Davenport,"6–1, 6–4"
Win,12–9,Aug-00,"Southern California Open, United States",Tier II,Hard, Monica Seles,"6–0, 6–7(3–7), 6–3"
Win,13–9,Aug-00,"Connecticut Open, United States (2)",Tier II,Hard, Monica Seles,"6–2, 6–4"
Win,14–9,Aug-00,"US Open, United States",Grand Slam,Hard, Lindsay Davenport,"6–4, 7–5"
Win,15–9,Sep-00,"Summer Olympics, Australia",Olympics,Hard, Elena Dementieva,"6–2, 6–4"
Loss,15–10,Oct-00,"Linz Open, Austria",Tier II,Carpet (i), Lindsay Davenport,"4–6, 6–3, 2–6"
Win,16–10,Mar-01,"Miami Open, United States (3)",Tier I,Hard, Jennifer Capriati,"4–6, 6–1, 7–6(7–4)"
Win,17–10,May-01,"WTA Hamburg, Germany (2)",Tier II,Clay, Meghann Shaughnessy,"6–3, 6–0"
Win,18–10,Jun-01,"Wimbledon, United Kingdom (2)",Grand Slam,Grass, Justine Henin,"6–1, 3–6, 6–0"
Win,19–10,Aug-01,"Southern California Open, United States (2)",Tier II,Hard, Monica Seles,"6–2, 6–3"
Win,20–10,Aug-01,"Connecticut Open, United States (3)",Tier II,Hard, Lindsay Davenport,"7–6(8–6), 6–4"
Win,21–10,Aug-01,"US Open, United States (2)",Grand Slam,Hard, Serena Williams,"6–2, 6–4"
Win,22–10,Jan-02,"Gold Coast International, Australia",Tier III,Hard, Justine Henin,"7–5, 6–2"
Win,23–10,Feb-02,"Open GDF Suez, France",Tier II,Carpet (i), Jelena Doki?,walkover
Win,24–10,Feb-02,"Diamond Games, Belgium",Tier II,Carpet (i), Justine Henin,"6–3, 5–7, 6–3"
Win,25–10,Apr-02,"Amelia Island Championships, United States",Tier II,Clay, Justine Henin,"2–6, 7–5, 7–6(7–5)"
Loss,25–11,May-02,"WTA Hamburg, Germany",Tier II,Clay, Kim Clijsters,"6–1, 3–6, 4–6"
Loss,25–12,Jun-02,"French Open, France",Grand Slam,Clay, Serena Williams,"5–7, 3–6"
Loss,25–13,Jul-02,"Wimbledon, United Kingdom",Grand Slam,Grass, Serena Williams,"6–7(4–7), 3–6"
Win,26–13,Jul-02,"Silicon Valley Classic, United States (2)",Tier II,Hard, Kim Clijsters,"6–3, 6–3"
Win,27–13,Aug-02,"Southern California Open, United States (3)",Tier II,Hard, Jelena Doki?,"6–2, 6–2"
Win,28–13,Aug-02,"Connecticut Open, United States (4)",Tier II,Hard, Lindsay Davenport,"7–5, 6–0"
Loss,28–14,Sep-02,"US Open, United States",Grand Slam,Hard, Serena Williams,"4–6, 3–6"
Loss,28–15,Jan-03,"Australian Open, Australia",Grand Slam,Hard, Serena Williams,"6–7(4–7), 6–3, 4–6"
Win,29–15,Feb-03,"Diamond Games, Belgium (2)",Tier II,Carpet (i), Kim Clijsters,"6–2, 6–4"
Loss,29–16,May-03,"Warsaw Open, Poland",Tier II,Clay, Amélie Mauresmo,"7–6(8–6), 0–6, 0–3 ret."
Loss,29–17,Jul-03,"Wimbledon, United Kingdom",Grand Slam,Grass, Serena Williams,"6–4, 4–6, 2–6"
Win,30–17,Apr-04,"Charleston Open, United States",Tier I,Clay, Conchita Martínez,"2–6, 6–2, 6–1"
